category,benchmark,status,error,test_coverage,fault_coverage,atpg_effectiveness,patterns,runtime_sec,detected_faults,undetected_faults,total_faults,report,patterns_file,stil_file
dirL11,b14_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL11/b14_C/b14_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b14_C/b14_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b14_C/b14_C.stil
dirL11,b15_C,ok,,99.98,99.98,99.98,406,1.776e+09,50621,0,50630,FTL/04_Phase4_ATPG/results/dirL11/b15_C/b15_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b15_C/b15_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b15_C/b15_C.stil
dirL11,b17_C,ok,,99.92,99.9,99.92,546,1.776e+09,161292,0,161450,FTL/04_Phase4_ATPG/results/dirL11/b17_C/b17_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b17_C/b17_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b17_C/b17_C.stil
dirL11,b20_C,ok,,99.97,99.97,99.97,417,1.776e+09,60895,0,60912,FTL/04_Phase4_ATPG/results/dirL11/b20_C/b20_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b20_C/b20_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b20_C/b20_C.stil
dirL11,b21_C,ok,,99.96,99.96,99.96,361,1.776e+09,59492,0,59514,FTL/04_Phase4_ATPG/results/dirL11/b21_C/b21_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b21_C/b21_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b21_C/b21_C.stil
dirL11,b22_C,ok,,99.98,99.98,99.98,355,1.776e+09,92104,0,92124,FTL/04_Phase4_ATPG/results/dirL11/b22_C/b22_C.rpt,FTL/04_Phase4_ATPG/results/dirL11/b22_C/b22_C.pat,FTL/04_Phase4_ATPG/results/dirL11/b22_C/b22_C.stil
dirL11,c1908,ok,,100,100,100,56,1.776e+09,1664,0,1664,FTL/04_Phase4_ATPG/results/dirL11/c1908/c1908.rpt,FTL/04_Phase4_ATPG/results/dirL11/c1908/c1908.pat,FTL/04_Phase4_ATPG/results/dirL11/c1908/c1908.stil
dirL11,c5315,ok,,100,99.99,100,68,1.776e+09,8955,0,8956,FTL/04_Phase4_ATPG/results/dirL11/c5315/c5315.rpt,FTL/04_Phase4_ATPG/results/dirL11/c5315/c5315.pat,FTL/04_Phase4_ATPG/results/dirL11/c5315/c5315.stil
dirL11,c6288,ok,,99.93,98.88,99.93,67,1.776e+09,11167,0,11294,FTL/04_Phase4_ATPG/results/dirL11/c6288/c6288.rpt,FTL/04_Phase4_ATPG/results/dirL11/c6288/c6288.pat,FTL/04_Phase4_ATPG/results/dirL11/c6288/c6288.stil
dirL11,c7552,ok,,100,100,100,69,1.776e+09,8998,0,8998,FTL/04_Phase4_ATPG/results/dirL11/c7552/c7552.rpt,FTL/04_Phase4_ATPG/results/dirL11/c7552/c7552.pat,FTL/04_Phase4_ATPG/results/dirL11/c7552/c7552.stil
